District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
New Hampshire 2nd,NH-02,Annie,Kuster,(ANN-ee KUHS-ter),/'æ.ni 'kə.stəɹ/,1956,Episcopalian,2012,54.9%,44.9%,D+,3,54.9%,45.1%,D+,3,56.5%,43.5%,D+,3,55.0%,45.0%,52.5%,47.5%,93.5%,0.8%,2.2%,2.2%,0.2%,1.1%,,,242,"238,149","130,679","106,857",613,169275,152977,,,2.9,"190,413","156,499",2.9,"198,228","152,557",2.8,658237,607447,5982,18399,15213,1517,9679,514741,481039,4301,11557,11180,1208,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 1st,NJ-01,Donald,Norcross,(DAHN-uhld NOR-kraws),/'dɑ.nəld 'nɔɹ.kɹɔs/,1958,Lutheran,2014*,57.4%,39.4%,D+,13,65.8%,34.2%,D+,14,65.4%,34.6%,D+,12,59.3%,40.7%,69.5%,30.5%,68.9%,15.4%,9.9%,4.5%,0.2%,1.2%,,,243,"162,492","93,315","64,073","5,104","210,470","92,459",,,12.8,"212,236","110,377",13.8,"219,874","116,242",11.7,731714,480423,119179,84785,32984,1128,13215,556968,383899,85825,54875,24852,854,6663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 2nd,NJ-02,Frank,LoBiondo,(FRAYNK low-bee-AHN-doh),/fɹeɪŋk ˌloʊ.bi.'ɑn.doʊ/,1946,Roman Catholic,1994,37.3%,61.5%,D+,1,54.1%,45.9%,D+,2,53.9%,46.1%,D+,0,37.8%,62.2%,41.1%,58.9%,71.0%,11.8%,12.2%,3.5%,0.3%,1.2%,,,244,"177,148","66,026","108,875","2,247","116,463","166,679",,,1.2,"166,906","141,479",2.2,"174,840","149,736",0.2,732326,495309,90019,105485,26175,2089,13249,564025,400427,66558,68994,19629,1642,6775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 3rd,NJ-03,Tom,MacArthur,(TAHM muh-KAR-thur),/tɑm mə.kɑɹ.θəɹ/,1960,Episcopalian,2014,44.4%,54.0%,R+,1,52.3%,47.7%,D+,0,51.7%,48.3%,R+,2,45.1%,54.9%,45.5%,54.5%,80.0%,9.8%,5.6%,3.2%,0.1%,1.4%,,,245,"186,103","82,537","100,471","3,095","145,509","174,257",,,-0.8,"179,028","163,203",0.3,"188,210","175,525",-1.9,733895,571319,74882,47920,24343,888,14543,571390,457098,55799,31913,18146,691,7743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 4th,NJ-04,Chris,Smith,(KRISS SMITH),/kɹɪs smɪθ/,1953,Roman Catholic,1980,31.1%,68.0%,R+,7,45.2%,54.8%,R+,7,45.8%,54.2%,R+,8,31.4%,68.6%,35.6%,64.4%,80.5%,6.2%,8.5%,3.8%,0.1%,0.9%,,,246,"174,849","54,415","118,826","1,608","108,097","195,186",,,-7.4,"148,622","180,439",-6.8,"160,660","190,307",-7.9,732848,578886,46412,69676,27558,643,9673,547849,440802,34160,46528,20703,510,5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 5th,NJ-05,Scott,Garrett,(SKAHT GAIR-itt),/skɑt 'gɛ.ɹɪt/,1959,Protestant,2002,43.3%,55.4%,R+,4,48.5%,51.5%,R+,3,49.0%,51.0%,R+,5,43.9%,56.1%,43.7%,56.3%,75.4%,4.4%,10.1%,8.8%,0.1%,1.1%,,,247,"188,921","81,808","104,678","2,435","130,102","167,503",,,-4.1,"162,305","172,486",-3.5,"176,486","183,854",-4.7,734272,542510,32124,81017,66519,935,11167,559815,422171,24644,56682,49511,691,6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 6th,NJ-06,Frank,Pallone,(FRAYNK puh-LOHN),/fɹeɪŋk pə.'loʊn/,1951,Roman Catholic,1988,59.9%,38.9%,D+,8,62.2%,37.8%,D+,10,59.1%,40.9%,D+,5,60.6%,39.4%,64.2%,35.8%,55.2%,9.0%,17.6%,16.5%,0.1%,1.7%,,,248,"120,457","72,190","46,891","1,376","152,310","84,831",,,7.8,"163,391","99,466",10.2,"170,603","118,187",5.4,733855,381645,68724,143987,123372,1046,15081,566466,312435,51098,99520,93297,633,9483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 7th,NJ-07,Leonard,Lance,(LEH-nerd LANCE),/'lɛ.nɹd læns/,1952,Roman Catholic,2008,38.8%,59.3%,R+,5,46.9%,53.1%,R+,5,47.8%,52.2%,R+,6,39.6%,60.4%,41.2%,58.8%,77.4%,3.9%,10.0%,7.8%,0.1%,0.9%,,,249,"175,997","68,232","104,287","3,478","123,090","175,704",,,-5.5,"157,635","178,521",-5.1,"172,330","188,352",-5.9,732573,554527,28675,77840,59668,475,11388,547532,423711,21189,54670,42569,350,5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 8th,NJ-08,Albio,Sires,(AL-bee-oh SEAR-ees),/'æl.bi.o 'si.ɹis/,1951,Roman Catholic,2006*,77.4%,19.0%,D+,24,79.0%,21.0%,D+,27,73.8%,26.2%,D+,20,80.2%,19.8%,80.5%,19.5%,30.4%,8.6%,50.3%,8.6%,0.1%,2.0%,,,250,"79,518","61,510","15,141","2,867","130,858","31,769",,,23.6,"162,232","43,032",27.1,"159,013","56,502",20.1,732104,203075,66204,387383,58044,987,16411,572563,174044,49401,287873,49000,653,11592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 9th,NJ-09,Bill,Pascrell,(BILL PASS-KRELL) [equal stress],/bɪl pæ.skɹɛl/,1937,Roman Catholic,1996,68.5%,30.1%,D+,14,68.9%,31.1%,D+,17,64.5%,35.5%,D+,11,69.5%,30.5%,74.7%,25.3%,45.6%,9.5%,31.2%,12.2%,0.1%,1.4%,,,251,"120,459","82,498","36,246","1,715","162,834","55,094",,,13.9,"173,082","77,951",17.0,"170,663","93,912",10.8,729408,310114,71060,247761,87347,788,12338,559066,255127,52933,174465,68340,519,7682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 10th,NJ-10,Donald,Payne,(DAHN-uhld PAYN),/'dɑ.nəld peɪn/,1958,Baptist,2012*,85.4%,12.6%,D+,34,88.4%,11.6%,D+,36,85.4%,14.6%,D+,32,87.1%,12.9%,89.2%,10.8%,23.8%,50.1%,16.8%,6.9%,0.2%,2.3%,,,252,"112,123","95,734","14,154","2,235","201,435","24,271",,,34.1,"239,483","31,379",36.5,"242,306","41,562",31.7,735256,158829,377722,130777,47276,1650,19002,556646,132238,278777,93309,38307,1182,12833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 11th,NJ-11,Rodney,Frelinghuysen,(RAHD-nee FREE-ling-high-zen),/'ɹɑd.ni 'fɹi.lɪŋg.ˌhaɪ.zɛn/,1946,Episcopalian,1994,37.4%,62.6%,R+,6,47.1%,52.9%,R+,5,47.4%,52.6%,R+,6,37.4%,62.6%,40.5%,59.5%,79.0%,3.4%,8.0%,8.5%,0.1%,1.1%,,,253,"174,932","65,477","109,455",0,"123,935","182,239",,,-5.6,"163,493","183,775",-4.9,"176,436","195,675",-6.3,732771,567938,24936,64056,63677,544,11620,564075,445480,19069,45200,47903,380,6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey 12th,NJ-12,Bonnie,Watson Coleman,(BAH-nee WAHT-suhn KOLE-muhn),/'bɑ.ni 'wɑt.sən 'koʊl.mən/,1945,Baptist,2014,61.0%,36.5%,D+,14,67.2%,32.8%,D+,15,66.4%,33.6%,D+,13,62.5%,37.5%,70.1%,29.9%,53.9%,16.7%,14.3%,13.5%,0.1%,1.5%,,,254,"148,366","90,430","54,168","3,768","189,938","80,907",,,14.0,"198,197","96,642",15.3,"204,001","103,354",12.7,730872,370303,125464,114457,104827,1054,14767,560285,302134,93303,80114,75600,679,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico 1st,NM-01,Michelle,Lujan Grisham,(mih-SHELL LOO-hahn GRISH-uhm),/mɪ.'ʃɛl 'lu.hɑn 'gɹɪ.ʃəm/,1959,Roman Catholic,2012,58.6%,41.4%,D+,7,58.3%,41.7%,D+,6,60.5%,39.5%,D+,7,58.6%,41.4%,59.2%,40.8%,46.9%,2.4%,43.5%,2.2%,3.5%,1.5%,,,255,"180,032","105,474","74,558",0,162924,112473,,,6.5,"155,915","111,749",6.3,"178,068","116,302",6.8,686391,288232,16016,329665,14776,24773,12929,523774,245411,12598,227802,11729,18281,7953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico 2nd,NM-02,Steve,Pearce,(STEEV PIERCE),/stiv pɪəɹs/,1947,Southern Baptist,"2010, 2002-2008",35.5%,64.4%,R+,5,46.5%,53.5%,R+,5,49.1%,50.9%,R+,5,35.5%,64.5%,40.9%,59.1%,45.3%,1.6%,46.9%,0.8%,4.3%,1.1%,,,256,"147,777","52,499","95,209",69,92162,133180,,,-5.0,"103,438","119,168",-5.5,"118,400","122,705",-4.6,686420,275624,10725,355689,5258,30590,8534,508668,230525,8306,238436,4291,21756,5354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico 3rd,NM-03,Ben Ray,Luján,(BEN RAY loo-HAHN),/bɛn ɹeɪ lu.'hɑn/,1972,Roman Catholic,2008,61.5%,38.4%,D+,8,59.8%,40.2%,D+,8,62.0%,38.0%,D+,8,61.5%,38.5%,63.1%,36.9%,43.7%,1.3%,36.4%,1.2%,16.1%,1.3%,,,257,"184,076","113,249","70,775",52,167103,97616,,,8.1,"155,982","104,871",7.8,"175,953","107,825",8.3,686368,269954,8721,268049,7517,120005,12122,508065,221912,6549,185088,5923,81925,6668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 1st,NY-01,Lee,Zeldin,(LEE ZEL-din),/li 'zɛl.dɪn/,1980,Jewish,2014,45.5%,54.4%,R+,2,50.3%,49.7%,R+,2,51.9%,48.1%,R+,2,45.6%,54.4%,52.5%,47.5%,80.0%,4.3%,11.2%,3.3%,0.2%,1.0%,,,258,"172,865","78,722","94,035",108,"146,179","132,304",,,-1.8,"146,708","145,115",-1.7,"168,611","156,394",-1.8,717177,558724,32109,89960,24029,1735,10620,549345,439385,23385,61325,18374,1304,5572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 2nd,NY-02,Pete,King,(PEET KING),/pit kɪŋg/,1944,Roman Catholic,1992,30.0%,68.3%,R+,1,52.2%,47.8%,D+,0,51.7%,48.3%,R+,2,30.5%,69.5%,41.4%,58.6%,68.8%,8.5%,18.5%,2.9%,0.1%,1.1%,,,259,"139,330","41,814","95,177","2,339","100,545","142,309",,,-0.9,"140,817","128,791",0.3,"156,151","145,890",-2.0,718757,475083,64067,146936,20965,1055,10651,546482,376200,46322,101349,15885,753,5973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 3rd,NY-03,Steve,Israel,(STEEV IZZ-ree-uhl),/stiv 'ɪz.ɹi.əl/,1958,Jewish,2000,54.8%,45.2%,R+,0,51.3%,48.7%,R+,1,54.0%,46.0%,D+,0,54.8%,45.2%,58.2%,41.8%,73.9%,2.9%,9.0%,12.7%,0.1%,1.4%,,,260,"164,375","90,032","74,269",74,"157,880","113,203",,,-0.2,"155,444","147,617",-0.7,"182,847","155,946",0.3,717864,520046,20752,69966,93704,651,12745,553265,409130,15942,49938,70254,431,7570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 4th,NY-04,Kathleen,Rice,(KATH-leen RICE),/'kæθ.lin ɹaɪs/,1965,Roman Catholic,2014,52.8%,47.1%,D+,3,56.8%,43.2%,D+,5,55.7%,44.3%,D+,2,52.8%,47.2%,65.7%,34.3%,63.2%,13.5%,16.5%,5.4%,0.1%,1.3%,,,261,"170,099","89,793","80,127",179,"163,955","85,693",,,3.5,"173,508","131,750",4.9,"185,400","147,199",2.1,718843,438618,98985,129190,39499,828,11723,552258,349205,74349,91252,29883,534,7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 5th,NY-05,Gregory,Meeks,(GREH-gree MEEKS),/'gɹɛ.gɹi miks/,1953,Baptist,1998*,94.9%,0%,D+,36,90.9%,9.1%,D+,39,86.4%,13.6%,D+,33,100%,0%,90.4%,9.6%,13.1%,50.1%,17.9%,11.4%,0.5%,7.1%,,,262,"79,821","75,712",0,"4,109","167,836","17,875",,,35.8,"192,265","19,314",38.9,"206,652","32,558",32.7,710048,85259,355785,133873,80160,4151,50820,539006,70612,269874,96565,61389,2543,38023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 6th,NY-06,Grace,Meng,(GRACE MAYNG),/gɹeɪs meɪŋg/,1975,Christian,2012,99%,0%,D+,13,68.6%,31.4%,D+,17,64.0%,36.0%,D+,10,100%,0%,68.7%,31.3%,39.7%,3.7%,17.4%,37.1%,0.1%,2.0%,,,263,"55,963","55,368",0,595,"111,501","50,846",,,13.5,"125,481","57,449",16.6,"126,794","71,419",10.3,724580,277856,26223,133838,268850,859,16954,590986,234736,21808,102540,219479,529,11894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 7th,NY-07,Nydia,Velázquez,(NEE-dee-uh vuh-LASS-kess),/'ni.ɾi.ə və.'læs.kɛs/,1953,Roman Catholic,1992,88.7%,9.0%,D+,34,89.5%,10.5%,D+,38,85.0%,15.0%,D+,31,90.8%,9.2%,100%,0%,28.6%,8.4%,41.3%,19.5%,0.2%,2.0%,,,264,"63,812","56,593","5,713","1,506","143,930",0,,,34.4,"156,802","18,359",37.6,"158,908","28,083",31.3,714039,199545,59712,306463,131025,1427,15867,542978,155395,45490,224396,105795,954,10948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 8th,NY-08,Hakeem,Jeffries,(hah-KEEM JEFF-reez),/hɑ.'kim 'dʒɛ.fɹiz/,1970,Baptist,2012,92.0%,0.0%,D+,35,89.8%,10.2%,D+,38,86.3%,13.7%,D+,33,100.0%,0.0%,91.2%,8.8%,24.5%,51.5%,16.9%,4.7%,0.2%,2.2%,,,265,"83,999","77,255",0,"6,744","184,039","17,650",,,35.2,"209,420","23,860",37.8,"208,300","32,971",32.6,718016,155930,378439,131873,33159,1863,16752,550237,134637,283398,93051,25820,1350,11981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 9th,NY-09,Yvette,Clarke,(ee-VET KLARK),/i.'vɛt klɑɹk/,1964,African Methodist,2006,89.3%,0%,D+,32,86.0%,14.0%,D+,34,84.5%,15.5%,D+,31,100%,0%,88.5%,11.5%,31.2%,50.2%,10.6%,5.9%,0.2%,2.0%,,,266,"92,569","82,659",0,"9,910","186,141","24,164",,,32.4,"202,361","33,045",34.0,"208,748","38,289",30.8,727032,221159,364537,81691,42491,1464,15690,558573,174104,280141,59320,33036,1026,10946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 10th,NY-10,Jerry,Nadler,(JAIR-ee NADD-ler),/'dʒɛ.ɹi 'næd.ləɹ/,1947,Jewish,1992*,87.4%,0%,D+,23,74.6%,25.4%,D+,23,76.4%,23.6%,D+,23,100%,0%,80.8%,19.2%,65.5%,4.0%,11.9%,16.8%,0.1%,1.8%,,,267,"101,881","89,080",0,"12,801","165,743","39,413",,,22.6,"172,688","58,828",22.6,"195,974","60,682",22.7,716260,468129,26602,86976,118122,668,15763,580997,380321,23210,68915,97406,502,10643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 11th,NY-11,[Vacant],,,,,,2015*,42.1%,54.8%,R+,2,52.2%,47.8%,D+,0,48.7%,51.3%,R+,5,43.4%,56.6%,47.3%,52.7%,66.8%,6.3%,13.9%,11.5%,0.1%,1.3%,,,268,"107,363","45,244","58,886","3,233","92,430","103,118",,,-2.4,"110,088","100,810",0.2,"112,035","118,106",-5.0,717007,460023,49361,112464,82346,937,11876,556859,372108,35303,77422,63896,677,7453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 12th,NY-12,Carolyn,Maloney,(KAIR-uh-luhn muh-LOH-nee),/'kɛ.rə.lən mə.'loʊ.ni/,1948,Presbyterian,1992,79.9%,20.0%,D+,27,78.1%,21.9%,D+,26,80.9%,19.1%,D+,27,79.9%,20.1%,80.6%,19.4%,68.5%,4.5%,12.3%,12.6%,0.1%,2.0%,,,269,"113,429","90,603","22,731",95,"194,370","46,841",,,26.7,"204,738","57,333",26.2,"243,155","57,238",27.3,714002,477788,33212,95507,89018,784,17693,632656,433299,28199,77976,79587,634,12961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 13th,NY-13,Charlie,Rangel,(CHAR-lee RAYN-guhl),/'tʃɑ.li 'ɹeɪŋ.gəl/,1930,Roman Catholic,1970,87.3%,0%,D+,42,95.4%,4.6%,D+,43,93.8%,6.2%,D+,40,100%,0%,93.5%,6.5%,14.1%,27.1%,52.6%,4.3%,0.2%,1.7%,,,270,"78,353","68,396",0,"9,957","175,016","12,147",,,41.8,"219,001","10,532",43.4,"225,863","14,845",40.1,717786,88040,191448,395346,28345,1507,13100,556707,78594,150964,292926,23669,1101,9453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 14th,NY-14,Joe,Crowley,(JOH KROW-lee) [rhymes with cow],/dʒoʊ 'kɹaʊ.li/,1962,Roman Catholic,1998,88.0%,0%,D+,26,81.5%,18.5%,D+,30,76.6%,23.4%,D+,23,100%,0%,84.7%,15.3%,27.5%,9.8%,44.8%,15.7%,0.1%,1.9%,,,271,"57,204","50,352",0,"6,852","120,761","21,755",,,26.2,"136,777","30,978",29.6,"135,243","41,288",22.9,718956,180405,68716,340333,112822,1301,15379,569765,156944,55923,255405,89677,792,11024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 15th,NY-15,José,Serrano,(hoh-ZAY sair-AH-noh),/hoʊ.'zeɪ sɛ.'ɹɑ.noʊ/,1943,Roman Catholic,1990*,97.1%,0%,D+,43,97.0%,3.0%,D+,45,94.8%,5.2%,D+,41,100%,0%,97.2%,2.8%,2.7%,29.4%,64.3%,1.9%,0.2%,1.4%,,,272,"56,563","54,906",0,"1,657","152,661","4,427",,,43.1,"171,350","5,315",45.0,"170,498","9,382",41.1,717177,16683,207587,468193,12599,1750,10365,504655,13803,148231,324538,9718,1097,7268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 16th,NY-16,Eliot,Engel,(EL-ee-uht AYN-guhl),/'ɛ.li.ət ˈeɪŋ.gəl/,1947,Jewish,1988,99%,0%,D+,21,74.3%,25.7%,D+,22,73.4%,26.6%,D+,20,100%,0%,76.9%,23.1%,41.9%,30.1%,21.3%,4.7%,0.2%,1.9%,,,273,"100,391","99,658",0,733,"179,562","53,935",,,21.0,"197,347","68,371",22.3,"205,897","74,591",19.7,720278,284884,217509,166839,33438,1479,16129,549246,229997,165324,116799,25739,1061,10326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 17th,NY-17,Nita,Lowey,(NEE-tuh LOH-wee),/'ni.tə 'loʊ.wi/,1937,Jewish,1988,56.4%,43.5%,D+,5,57.7%,42.3%,D+,6,58.5%,41.5%,D+,5,56.4%,43.6%,65.1%,34.9%,64.0%,10.0%,18.7%,5.9%,0.1%,1.2%,,,274,"174,062","98,158","75,781",123,"171,417","91,899",,,5.3,"167,884","123,125",5.7,"181,604","128,934",4.8,712306,449438,69360,139459,41121,818,12110,531665,340399,53172,99501,31429,592,6572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 18th,NY-18,Sean Patrick,Maloney,(shawn PAT-trick muh-LOH-nee),/ʃɔn 'pæ.tʃɹɪk mə'loʊ.ni/,1966,Roman Catholic,2012,49.7%,47.8%,R+,0,52.2%,47.8%,D+,0,52.6%,47.4%,R+,1,51.0%,49.0%,51.9%,48.1%,74.3%,8.2%,13.1%,2.9%,0.2%,1.4%,,,275,"179,091","88,993","85,660","4,438","143,845","133,049",,,-0.4,"149,610","137,144",0.2,"162,618","146,308",-1.0,719723,516970,60095,106451,20631,1359,14217,536296,398549,44016,70038,15322,1059,7312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 19th,NY-19,Chris,Gibson,(KRISS GIB-suhn),/kɹɪs 'gɪb.sən/,1964,Roman Catholic,2010,35.5%,64.5%,D+,1,53.2%,46.8%,D+,1,53.9%,46.1%,D+,0,35.5%,64.5%,47.2%,52.8%,87.9%,4.0%,5.4%,1.3%,0.2%,1.1%,,,276,"204,173","72,470","131,594",109,"134,295","150,245",,,0.7,"157,171","138,299",1.2,"175,763","150,323",0.2,717341,619384,29089,45225,9806,1450,12387,568027,499401,22810,30611,7549,1186,6470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 20th,NY-20,Paul,Tonko,(PAWL TAHN-koh),/pɔl 'tɑŋ.koʊ/,1949,Roman Catholic,2008,61.2%,38.7%,D+,7,60.4%,39.6%,D+,8,59.4%,40.6%,D+,6,61.3%,38.7%,68.4%,31.6%,82.6%,7.7%,4.2%,3.5%,0.2%,1.8%,,,277,"204,329","125,111","79,104",114,"203,401","93,778",,,7.1,"186,459","122,230",8.4,"198,366","135,529",5.7,717751,571278,61694,37650,26280,1338,19511,565607,467009,43570,23891,19872,1012,10253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 21st,NY-21,Elise,Stefanik,(uh-LEES stih-FAH-nik),/ə.'lis stɪ.'fɑ.nɪk/,1984,Roman Catholic,2014,33.8%,55.1%,R+,0,53.1%,46.9%,D+,1,52.5%,47.5%,R+,1,38.0%,62.0%,51.0%,49.0%,92.1%,2.9%,2.4%,0.8%,0.8%,0.9%,,,278,"174,668","59,063","96,226","19,379","126,631","121,646",,,0.0,"138,889","122,471",1.2,"150,137","135,821",-1.2,718128,657759,18944,19159,5955,6217,10094,560156,516165,16127,13459,4649,4546,5210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 22nd,NY-22,Richard,Hanna,(RICH-erd HANN-uh),/'ɹɪ.tʃəɹd 'hæ.nə/,1951,Roman Catholic,2010,0%,98.4%,R+,3,49.8%,50.2%,R+,2,50.0%,50.0%,R+,4,0%,100%,39.3%,60.7%,90.7%,3.3%,2.5%,2.1%,0.3%,1.0%,,,279,"131,932",0,"129,851","2,081","102,080","157,941",,,-3.0,"135,172","136,500",-2.2,"148,425","148,580",-3.7,717428,640110,25634,22476,15399,1873,11936,562336,510303,18632,14321,11787,1506,5787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 23rd,NY-23,Tom,Reed,(TAHM REED),/tɑm ɹid/,1971,Roman Catholic,2010*,38.3%,61.7%,R+,3,49.4%,50.6%,R+,3,50.4%,49.6%,R+,3,38.3%,61.7%,48.1%,51.9%,91.1%,2.6%,2.7%,2.1%,0.5%,1.1%,,,280,"183,481","70,242","113,130",109,"127,535","137,669",,,-2.9,"133,959","137,312",-2.6,"150,412","147,913",-3.3,715904,644134,18738,22745,13705,4034,12548,561120,511079,14565,14876,11591,2922,6087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 24th,NY-24,John,Katko,(JAHN KAT-koh),/dʒɑn 'kæt.koʊ/,1962,Roman Catholic,2014,40.3%,59.5%,D+,5,58.1%,41.9%,D+,6,57.2%,42.8%,D+,4,40.4%,59.6%,53.0%,47.0%,86.2%,6.8%,2.9%,2.2%,0.6%,1.3%,,,281,"199,222","80,304","118,474",444,"143,044","127,054",,,4.8,"171,502","123,534",6.2,"181,776","135,928",3.5,717111,600220,55154,26233,15978,4161,15365,553204,476812,37739,16208,12193,3306,6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 25th,NY-25,Louise,Slaughter,(loo-EES SLAW-ter),/lu.'is 'slɔ.ɾəɹ/,1929,Episcopalian,1986,50.2%,49.7%,D+,7,59.9%,40.1%,D+,8,59.6%,40.4%,D+,6,50.2%,49.8%,57.4%,42.6%,75.9%,13.2%,6.0%,3.3%,0.2%,1.3%,,,282,"192,971","96,803","95,932",236,"179,810","133,389",,,6.9,"187,753","125,897",7.9,"201,012","136,481",5.9,717894,517207,107007,53459,23957,1519,14745,555664,421837,73268,33483,18571,1231,7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 26th,NY-26,Brian,Higgins,(BRAHY-uhn HIG-inz),/'braɪ.ən hɪ.gɪnz/,1959,Roman Catholic,2004,68.1%,31.8%,D+,12,65.1%,34.9%,D+,13,64.4%,35.6%,D+,11,68.1%,31.9%,74.8%,25.2%,75.1%,15.9%,4.3%,3.0%,0.5%,1.2%,,,283,"166,124","113,210","52,909",5,"212,588","71,666",,,11.9,"193,362","103,743",13.1,"208,504","115,099",10.7,716906,512316,126679,38873,21521,3566,13951,565026,424531,90025,24145,16871,2717,6737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York 27th,NY-27,Chris,Collins,(KRISS KAH-linz),/kɹɪs 'kɑ.lɪnz/,1950,Roman Catholic,2012,28.9%,71.0%,R+,8,43.7%,56.3%,R+,8,45.2%,54.8%,R+,8,28.9%,71.1%,49.2%,50.8%,93.5%,2.4%,1.8%,0.9%,0.7%,0.7%,,,284,"203,645","58,911","144,675",59,"156,219","161,220",,,-8.4,"140,176","180,703",-8.3,"153,862","186,554",-8.5,719760,667248,16414,15737,6587,5114,8660,560034,523730,13656,10146,4820,3777,3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
